well,n,ps,ps_frac,eval_n,lateral_ft,azimuth,tvt_eval_std,tvt_eval_range,gr_miss_pct,gr_miss_eval_pct,gr_gap_med,gr_gap_max,tw_covers_eval,carry_rmse
000d7d20,5278,1442,0.27,3836,5019,90.6,5.09,15.2,42.8,47.3,1,19,True,7.45
00bbac68,7559,1545,0.2,6014,7063,134.7,15.05,50.2,12.5,13.8,1,8,True,15.26
00e12e8b,6384,2083,0.33,4301,5749,125.6,7.89,29.6,9.1,9.7,1,8,True,7.92
015fe0d2,5950,1654,0.28,4296,5705,-53.6,12.09,38.6,25.4,32.0,1,9,True,23.15
01869cd4,6850,1293,0.19,5557,6651,-53.2,9.63,39.0,47.7,51.1,1,14,True,10.62
01982c1d,5587,1646,0.29,3941,5086,107.3,5.61,18.0,15.1,15.8,1,11,True,6.33
028d7b28,7761,1527,0.2,6234,7418,-54.4,7.17,26.2,21.8,23.3,1,7,True,7.39
02e7fe5a,6888,1780,0.26,5108,6338,89.5,5.21,24.2,58.0,63.7,2,21,True,8.41
0390d174,6101,1690,0.28,4411,5818,-69.4,8.35,31.4,48.0,49.8,1,23,True,8.52
03a935ae,4430,1644,0.37,2786,4076,153.0,16.3,53.6,4.0,4.1,1,3,True,35.05
044af7d1,6067,1548,0.26,4519,5737,-92.5,5.91,23.2,60.6,65.9,2,19,True,9.87
0498acab,6432,1634,0.25,4798,5882,-67.4,5.25,22.4,45.8,47.5,2,27,True,6.0
052d64df,4590,2145,0.47,2445,4020,129.3,7.38,24.9,25.4,27.5,1,10,True,7.4
05948241,5428,1549,0.29,3879,4892,130.4,3.88,15.0,54.8,59.9,2,17,True,5.0
059c8f24,7998,1740,0.22,6258,7476,-47.9,7.5,31.3,40.8,43.5,1,28,True,10.91
05a0ee4d,6098,1750,0.29,4348,5579,111.8,13.4,41.2,32.1,36.0,1,14,True,18.34
060ab2b8,7818,1560,0.2,6258,7264,130.4,6.05,27.1,56.7,57.5,1,17,True,9.05
06df5958,5039,1530,0.3,3509,4708,-47.7,2.95,10.8,15.7,18.9,1,4,True,3.09
071d7b45,4720,1509,0.32,3211,4577,131.0,5.01,23.8,15.6,15.4,1,6,True,17.12
0849b4e2,7436,1899,0.26,5537,6818,-84.1,11.87,43.0,22.8,25.0,1,10,True,14.57
084d66f9,5632,1747,0.31,3885,5050,-48.3,9.31,44.6,60.0,64.6,2,20,True,10.69
08fecf00,7405,1831,0.25,5574,6795,-85.6,4.37,16.0,24.3,28.2,1,10,True,4.76
09053135,7715,1808,0.23,5907,7197,-69.3,5.07,25.7,37.2,42.2,1,24,True,13.26
09441b8d,7395,1907,0.26,5488,6799,130.5,9.69,34.7,13.3,11.7,1,114,True,15.94
0955cd6c,7125,1930,0.27,5195,6656,-90.4,5.68,20.1,58.1,64.5,2,22,True,8.02
09ec2ca9,7824,1939,0.25,5885,7306,87.8,5.58,19.6,51.3,56.0,2,18,True,6.13
0a57a29c,7194,1373,0.19,5821,6903,130.7,4.06,22.3,49.6,53.0,1,18,True,6.95
0bbf5e67,6031,1733,0.29,4298,5464,-49.8,6.44,31.1,50.0,52.7,1,22,True,18.38
0be01c24,6385,1647,0.26,4738,5905,-96.7,4.8,21.0,3.8,3.5,1,2,True,8.27
0c1b160c,6714,1660,0.25,5054,6285,-48.6,7.67,27.2,51.3,52.1,2,16,True,8.43
0d99f8e4,7522,1699,0.23,5823,7221,-49.7,7.07,22.8,50.6,54.0,1,12,True,9.34
0dc5e64d,6191,1312,0.21,4879,5885,-47.0,16.22,66.0,1.1,1.1,1,2,True,18.01
0dc835f3,5279,851,0.16,4428,5224,108.6,6.53,26.2,3.6,3.3,1,4,True,7.23
0dd99dc5,9182,1840,0.2,7342,8646,119.5,7.24,29.3,47.1,47.6,1,119,True,8.23
0e5e560d,4896,1643,0.34,3253,4379,90.0,6.48,24.9,24.7,28.5,1,16,True,10.29
109d9d70,5851,1636,0.28,4215,5495,131.0,7.8,34.4,37.2,41.3,1,18,True,9.37
10a1281a,7353,1744,0.24,5609,6874,130.6,2.57,9.9,4.8,4.3,1,52,True,3.59
10b89021,7166,1752,0.24,5414,6543,98.5,4.84,18.9,50.6,57.3,2,48,True,14.72
10be2420,5203,1932,0.37,3271,4683,130.1,6.46,21.9,46.9,51.7,2,23,True,13.26
113011eb,4561,1289,0.28,3272,4380,-53.3,5.08,20.6,47.8,50.3,1,13,True,5.18
1131525f,5548,1389,0.25,4159,5248,-47.4,7.06,23.0,31.5,35.4,1,10,True,14.67
11d0f5ac,6378,1495,0.23,4883,6116,134.6,11.03,28.8,37.3,40.4,1,12,True,22.17
12203f2a,4991,1730,0.35,3261,4451,104.6,6.48,20.9,25.9,29.1,1,6,True,13.76
122bd617,6408,1838,0.29,4570,5804,130.6,10.35,40.2,29.3,30.5,1,53,True,11.67
125be846,8033,1523,0.19,6510,7668,131.1,7.2,27.0,24.1,27.6,1,9,True,18.44
1285a37b,7403,1806,0.24,5597,6890,118.7,2.21,10.7,3.8,4.2,1,4,True,5.55
1295a25b,7037,1486,0.21,5551,6678,-53.4,8.14,32.2,41.0,44.6,1,15,True,9.72
12f0cd90,7431,1484,0.2,5947,7121,-73.2,7.89,35.2,26.0,29.1,1,24,True,7.9
137d1e44,6313,1759,0.28,4554,5703,128.1,18.82,53.0,43.7,48.6,2,16,True,25.01
13ce113d,4875,1909,0.39,2966,4197,115.6,3.34,14.4,18.9,19.1,1,28,True,3.38
13f598d9,8934,1628,0.18,7306,8526,120.4,5.83,25.9,53.4,55.6,1,167,True,15.17
14a53cb3,8780,1861,0.21,6919,8218,130.4,4.61,20.4,12.9,13.1,1,11,True,8.95
14ab73fb,5279,1630,0.31,3649,4899,39.0,7.07,30.3,40.0,41.0,1,11,True,14.82
14ad5efb,7352,1510,0.21,5842,7016,-72.6,6.21,25.2,17.3,20.4,1,19,True,6.3
14fee784,6406,1496,0.23,4910,6132,109.3,16.88,52.2,55.2,60.0,1,25,True,21.42
153552f5,6498,1803,0.28,4695,5947,126.1,4.55,17.0,18.8,20.8,1,9,True,5.16
1550491d,5929,1366,0.23,4563,5766,86.8,7.46,30.4,3.8,3.7,1,2,True,21.17
155887bb,7062,1477,0.21,5585,6389,138.8,8.11,35.2,24.9,27.1,1,157,True,11.79
1590af81,5231,1432,0.27,3799,5014,110.8,5.16,19.2,17.3,20.8,1,4,True,5.56
15e154a1,7699,1631,0.21,6068,7183,-50.9,7.3,37.0,47.8,48.6,1,11,True,23.23
1619e2ca,6002,1559,0.26,4443,5511,-68.3,7.28,29.1,36.1,39.7,1,12,True,7.81
16e4a047,5684,1553,0.27,4131,5193,113.0,2.68,14.6,55.2,57.3,1,16,True,10.72
173ed841,6530,1647,0.25,4883,6004,125.8,10.8,45.3,36.0,39.0,1,13,True,17.58
1770d7c6,9121,1881,0.21,7240,8710,111.1,8.63,29.4,4.5,4.6,1,3,True,12.33
177622d7,4699,1545,0.33,3154,4374,132.4,6.61,19.5,47.3,56.3,2,19,True,9.8
18d24f7b,6260,1702,0.27,4558,5887,131.2,5.85,19.6,12.1,13.1,1,10,True,7.53
19137a89,7958,1691,0.21,6267,7394,-91.3,9.97,41.0,8.2,5.7,1,205,True,18.12
1944513c,6599,1877,0.28,4722,5966,87.0,4.1,17.8,7.6,3.7,1,255,True,5.74
197f8a5a,8248,1938,0.23,6310,7599,128.2,13.71,52.2,51.8,52.2,1,16,True,24.62
19871e7f,7152,1859,0.26,5293,6744,126.7,5.19,17.3,14.1,14.4,1,29,True,5.35
198a5607,8094,1843,0.23,6251,7484,131.5,7.21,23.9,25.0,26.9,1,8,True,9.94
19fb4f7b,7923,2303,0.29,5620,7124,119.3,10.25,33.8,3.8,4.3,1,2,True,11.09
1a518997,6544,1938,0.3,4606,5991,-47.5,2.38,14.7,36.6,40.7,1,40,True,10.76
1a68190b,6502,2028,0.31,4474,5915,-75.5,9.19,32.0,23.6,27.6,1,18,True,16.43
1a730ac2,6049,1444,0.24,4605,5863,-68.4,7.1,29.2,29.7,29.9,1,19,True,16.35
1aaf1da0,6321,1517,0.24,4804,5835,109.1,5.63,18.3,23.7,26.7,1,7,True,9.29
1b08ed48,7175,1557,0.22,5618,6860,91.1,6.01,21.3,54.9,58.0,2,19,True,11.84
1b1c5372,5792,1531,0.26,4261,5499,-70.6,14.3,46.1,25.7,30.3,1,10,True,17.83
1b1eba53,6710,2055,0.31,4655,6057,-41.3,25.36,98.9,14.0,16.3,1,7,True,70.64
1b6ba517,8611,2014,0.23,6597,7954,125.7,3.77,18.5,42.0,42.4,1,11,True,7.82
1b82b665,5364,1558,0.29,3806,4844,-69.6,5.83,18.4,10.0,6.5,1,202,True,6.11
1bcb2fcf,6202,1678,0.27,4524,5692,110.6,4.32,22.4,7.3,6.6,1,7,True,6.21
1beca81d,6650,1614,0.24,5036,6142,-59.9,7.26,25.3,44.7,47.9,1,11,True,8.15
1d3fbf02,4252,1558,0.37,2694,4056,-89.0,4.74,15.2,33.1,35.9,1,9,True,5.91
1d78281a,6810,1861,0.27,4949,6179,-77.0,8.06,26.8,19.3,21.5,1,6,True,11.88
1e30dedf,5474,1403,0.26,4071,5368,137.4,7.93,25.0,45.0,47.5,1,17,True,12.14
1e5e3573,7126,1646,0.23,5480,6675,-90.6,8.01,29.8,56.4,59.2,2,33,True,11.92
1f9afacb,7054,1726,0.24,5328,6578,110.9,1.99,7.5,38.9,44.1,1,15,True,2.52
1fdbba44,6333,1422,0.22,4911,6095,117.8,4.63,17.8,19.4,19.9,1,12,True,5.84
1fee2b62,6323,1682,0.27,4641,5839,111.8,7.89,25.8,55.5,58.5,1,18,True,8.27
20096916,6880,1747,0.25,5133,6399,108.7,5.32,22.0,48.4,51.8,1,15,True,10.46
200d233d,5896,1970,0.33,3926,5397,-60.2,5.04,19.4,6.6,7.8,1,5,True,12.78
201661b5,8136,2181,0.27,5955,7467,89.7,10.47,46.0,5.9,6.6,1,6,True,12.38
203721ab,7235,1505,0.21,5730,6843,-47.8,7.74,29.0,20.0,20.5,1,10,True,10.04
20402d71,7930,1558,0.2,6372,7457,132.4,5.13,25.4,1.3,1.3,1,1,True,11.66
2043abc5,8513,1555,0.18,6958,8272,131.3,9.59,32.6,65.9,67.2,2,21,True,18.04
204cc64b,6454,1649,0.26,4805,5990,125.2,5.82,26.2,32.8,35.7,1,19,True,6.09
206b6193,8568,2033,0.24,6535,8044,131.6,18.44,70.1,3.7,4.1,1,9,True,36.51
2075c696,5580,2392,0.43,3188,4770,-65.6,12.08,32.1,8.2,8.1,1,4,True,21.9
22c5f93f,6919,1747,0.25,5172,6395,109.6,6.75,26.2,55.0,56.8,1,12,True,7.09
230eaaa3,6451,1761,0.27,4690,5845,-48.0,22.84,83.4,18.2,18.9,1,10,True,25.32
2364716c,6093,1777,0.29,4316,5533,-48.8,9.48,33.5,27.7,29.4,1,10,True,19.67
23b9beb0,8790,1450,0.16,7340,8465,-66.4,4.7,18.2,21.1,22.7,1,16,True,5.5
24d8997e,5188,1746,0.34,3442,4632,130.0,5.36,18.9,12.3,14.9,1,9,True,5.64
25050f63,7155,1031,0.14,6124,6823,133.1,8.06,48.4,4.6,5.0,1,5,True,38.0
25939962,6071,1752,0.29,4319,5516,110.1,10.29,34.7,58.0,62.3,2,25,True,11.1
25fd32b3,4546,1661,0.37,2885,4246,-49.7,1.27,6.1,22.9,25.6,1,9,True,3.18
261785ee,5512,1866,0.34,3646,4875,111.2,10.59,37.5,33.1,37.6,1,18,True,23.58
264feceb,7408,1743,0.24,5665,6883,131.7,3.01,18.9,4.2,4.3,1,3,True,10.86
26623a50,7479,1744,0.23,5735,6957,101.8,8.01,34.6,26.4,28.1,1,13,True,21.68
26d3a96a,6465,1744,0.27,4721,5978,124.2,6.53,38.4,31.8,31.7,1,9,True,9.06
272abef3,5682,1547,0.27,4135,5293,-68.5,6.83,20.6,4.6,4.7,1,12,True,10.02
27300fd5,7386,1919,0.26,5467,6960,120.5,6.03,27.6,3.4,3.7,1,3,True,17.39
276b012a,6291,1454,0.23,4837,5989,-52.5,11.13,48.1,14.8,16.0,1,7,True,27.09
27c3155b,6941,1983,0.29,4958,6240,-43.7,6.03,24.8,3.3,3.4,1,3,True,18.11
27ebb9b9,7651,1885,0.25,5766,7158,127.2,7.11,24.4,19.3,21.6,1,7,True,9.99
283269ac,4567,1941,0.43,2626,3988,130.9,1.01,3.6,58.6,67.7,2,19,True,1.12
28473855,6620,2330,0.35,4290,5907,131.2,4.54,21.3,3.0,3.1,1,5,True,4.55
28f4eda9,6824,1558,0.23,5266,6672,133.5,7.52,22.9,22.1,23.1,1,12,True,12.16
29b24409,7417,1830,0.25,5587,6910,130.4,5.27,20.6,56.1,59.5,1,220,True,13.76
29de15c8,5164,1733,0.34,3431,4711,93.0,2.64,9.6,4.1,4.0,1,3,True,4.59
2ab29395,3325,1473,0.44,1852,3188,-64.8,1.62,7.0,29.8,35.9,1,8,True,2.46
2ac7cb6b,6451,1461,0.23,4990,6189,108.4,17.18,65.8,4.2,4.0,1,3,True,19.6
2acc78d4,6109,1843,0.3,4266,5543,-90.5,9.97,33.0,59.8,68.2,2,21,True,13.63
2b034622,6761,1558,0.23,5203,6378,129.5,2.92,12.4,27.3,31.1,1,6,True,6.81
2b06ad65,5706,1450,0.25,4256,5460,91.4,2.06,7.2,4.1,3.9,1,13,True,2.75
2b547943,5131,1651,0.32,3480,4600,-67.4,7.2,19.0,31.7,35.6,1,11,True,12.24
2be5c96a,5753,1543,0.27,4210,5358,-45.2,3.59,14.8,73.0,77.4,2,20,True,3.66
2bff06cf,9174,1550,0.17,7624,8629,132.0,8.81,44.5,47.6,50.0,1,155,True,28.43
2c0c4a4e,6719,1929,0.29,4790,6230,-49.8,5.47,20.0,5.2,4.7,1,5,True,8.05
2cee0cba,7335,1835,0.25,5500,6809,-49.6,7.1,35.4,42.7,47.0,1,14,True,10.67
2d0c268a,6289,1739,0.28,4550,5746,87.5,8.54,27.2,26.1,28.3,1,14,True,14.87
2d179ded,9225,2217,0.24,7008,8547,131.5,7.49,24.9,42.0,46.3,2,12,True,7.75
2d196986,8316,1842,0.22,6474,7786,130.4,8.13,31.5,1.2,1.3,1,1,True,11.99
2d2d0c6b,6967,1922,0.28,5045,6385,-41.2,2.96,13.6,60.5,62.5,2,192,True,3.05
2d35f86d,6628,1732,0.26,4896,6227,112.2,11.2,30.8,24.2,25.3,1,7,True,11.22
2d9f6cb9,8627,1289,0.15,7338,8526,111.6,5.82,19.5,3.8,3.6,1,4,True,9.91
2ddad940,6812,1481,0.22,5331,6410,-53.4,7.06,24.7,15.6,16.4,1,18,True,7.65
