C:\Users\a_hus\OneDrive\Documents\02_personal\04_education\01_GT_MS\01_courses\2026\cs7643_deep_learning\03_project\.venv\Lib\site-packages\torch\nn\modules\transformer.py:531: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\NestedTensorImpl.cpp:182.)
  output = torch._nested_tensor_from_mask(
device=cuda | cfg=QUICK | bs=6 L=512 epochs=20 k=3
gpu=NVIDIA GeForce RTX 5070 Laptop GPU | VRAM free 7.4/8.5 GB
discovered 773 wells in train

--- fold 1/3: train 515 / val 258 (n_synth=257) ---
ep0 step0: loss=1.8988 (reg=0.0963 align=6.000)
ep0 step200: loss=1.6260 (reg=0.0210 align=5.349)
ep0 step400: loss=1.2145 (reg=0.0239 align=3.968)
ep0 step600: loss=1.1073 (reg=0.0112 align=3.653)
ep0 step800: loss=1.1517 (reg=0.0153 align=3.787)
ep0 step1000: loss=1.2075 (reg=0.0132 align=3.981)
ep0 step1200: loss=1.0856 (reg=0.0099 align=3.585)
ep0 step1400: loss=1.1990 (reg=0.0273 align=3.905)
ep0 step1600: loss=1.1524 (reg=0.0052 align=3.824)
ep0 step1800: loss=1.0891 (reg=0.0057 align=3.611)
ep0 step2000: loss=1.2082 (reg=0.0112 align=3.989)
ep0 step2200: loss=1.4026 (reg=0.0043 align=4.661)
ep0 step2400: loss=1.2723 (reg=0.0137 align=4.195)
ep0 step2600: loss=0.9821 (reg=0.0077 align=3.248)
ep0 step2800: loss=1.3337 (reg=0.0029 align=4.436)
ep0 step3000: loss=1.0232 (reg=0.0069 align=3.387)
ep0 step3200: loss=1.0310 (reg=0.0046 align=3.421)
ep0 step3400: loss=1.0699 (reg=0.0227 align=3.490)
ep0 step3600: loss=1.0463 (reg=0.0087 align=3.459)
ep0 step3800: loss=1.0598 (reg=0.0034 align=3.521)
ep0 step4000: loss=0.9578 (reg=0.0065 align=3.171)
ep1 step4200: loss=0.9247 (reg=0.0100 align=3.049)
ep1 step4400: loss=1.2945 (reg=0.0132 align=4.271)
ep1 step4600: loss=1.1718 (reg=0.0163 align=3.852)
ep1 step4800: loss=0.7599 (reg=0.0066 align=2.511)
ep1 step5000: loss=0.9434 (reg=0.0050 align=3.128)
ep1 step5200: loss=0.8406 (reg=0.0056 align=2.783)
ep1 step5400: loss=0.8572 (reg=0.0065 align=2.836)
ep1 step5600: loss=1.1053 (reg=0.0053 align=3.666)
ep1 step5800: loss=0.8112 (reg=0.0035 align=2.692)
ep1 step6000: loss=0.7182 (reg=0.0059 align=2.374)
ep1 step6200: loss=0.9714 (reg=0.0037 align=3.226)
ep1 step6400: loss=0.7189 (reg=0.0061 align=2.376)
ep1 step6600: loss=1.0205 (reg=0.0392 align=3.271)
ep1 step6800: loss=0.7680 (reg=0.0041 align=2.546)
ep1 step7000: loss=0.9112 (reg=0.0050 align=3.020)
ep1 step7200: loss=0.6668 (reg=0.0053 align=2.205)
ep1 step7400: loss=0.7349 (reg=0.0037 align=2.437)
ep1 step7600: loss=0.8663 (reg=0.0085 align=2.859)
ep1 step7800: loss=0.9201 (reg=0.0026 align=3.058)
ep1 step8000: loss=0.7857 (reg=0.0037 align=2.607)
ep1 step8200: loss=0.9446 (reg=0.0042 align=3.135)
ep2 step8400: loss=0.8696 (reg=0.0349 align=2.782)
ep2 step8600: loss=0.5167 (reg=0.0055 align=1.704)
ep2 step8800: loss=0.9025 (reg=0.0050 align=2.992)
ep2 step9000: loss=0.7019 (reg=0.0032 align=2.329)
ep2 step9200: loss=0.7358 (reg=0.0070 align=2.429)
ep2 step9400: loss=0.6446 (reg=0.0059 align=2.129)
ep2 step9600: loss=0.6809 (reg=0.0051 align=2.253)
ep2 step9800: loss=0.7269 (reg=0.0021 align=2.416)
ep2 step10000: loss=0.8038 (reg=0.0108 align=2.643)
ep2 step10200: loss=0.7852 (reg=0.0055 align=2.599)
ep2 step10400: loss=0.6745 (reg=0.0095 align=2.217)
ep2 step10600: loss=0.5635 (reg=0.0043 align=1.864)
ep2 step10800: loss=0.5896 (reg=0.0032 align=1.955)
ep2 step11000: loss=0.5090 (reg=0.0065 align=1.675)
ep2 step11200: loss=0.6302 (reg=0.0046 align=2.085)
ep2 step11400: loss=0.6266 (reg=0.0026 align=2.080)
ep2 step11600: loss=0.6115 (reg=0.0046 align=2.023)
ep2 step11800: loss=0.5275 (reg=0.0063 align=1.737)
ep2 step12000: loss=0.6794 (reg=0.0024 align=2.256)
ep2 step12200: loss=0.9182 (reg=0.0009 align=3.058)
ep3 step12400: loss=0.7768 (reg=0.0113 align=2.551)
ep3 step12600: loss=0.6282 (reg=0.0035 align=2.082)
ep3 step12800: loss=0.7165 (reg=0.0037 align=2.376)
ep3 step13000: loss=0.7418 (reg=0.0083 align=2.445)
ep3 step13200: loss=0.5119 (reg=0.0102 align=1.672)
ep3 step13400: loss=0.6607 (reg=0.0025 align=2.194)
ep3 step13600: loss=0.5313 (reg=0.0034 align=1.759)
ep3 step13800: loss=0.5400 (reg=0.0029 align=1.790)
ep3 step14000: loss=1.0435 (reg=0.0052 align=3.461)
ep3 step14200: loss=0.6665 (reg=0.0064 align=2.200)
ep3 step14400: loss=0.7840 (reg=0.0092 align=2.582)
ep3 step14600: loss=0.5751 (reg=0.0047 align=1.901)
ep3 step14800: loss=0.4502 (reg=0.0016 align=1.495)
ep3 step15000: loss=0.4855 (reg=0.0058 align=1.599)
ep3 step15200: loss=0.6203 (reg=0.0032 align=2.057)
ep3 step15400: loss=0.4062 (reg=0.0061 align=1.334)
ep3 step15600: loss=0.5290 (reg=0.0061 align=1.743)
ep3 step15800: loss=0.5423 (reg=0.0056 align=1.789)
ep3 step16000: loss=0.5789 (reg=0.0041 align=1.916)
ep3 step16200: loss=0.5949 (reg=0.0035 align=1.971)
ep3 step16400: loss=0.5380 (reg=0.0035 align=1.781)
ep4 step16600: loss=0.5265 (reg=0.0045 align=1.740)
ep4 step16800: loss=0.3154 (reg=0.0043 align=1.037)
ep4 step17000: loss=0.5074 (reg=0.0054 align=1.673)
ep4 step17200: loss=0.5006 (reg=0.0042 align=1.654)
ep4 step17400: loss=0.5991 (reg=0.0009 align=1.994)
ep4 step17600: loss=0.6985 (reg=0.0122 align=2.288)
ep4 step17800: loss=0.6684 (reg=0.0065 align=2.206)
ep4 step18000: loss=0.6061 (reg=0.0025 align=2.012)
ep4 step18200: loss=0.8087 (reg=0.0044 align=2.681)
ep4 step18400: loss=0.6632 (reg=0.0018 align=2.205)
ep4 step18600: loss=0.4876 (reg=0.0069 align=1.602)
ep4 step18800: loss=0.5120 (reg=0.0037 align=1.694)
ep4 step19000: loss=0.4479 (reg=0.0027 align=1.484)
ep4 step19200: loss=0.4407 (reg=0.0059 align=1.449)
ep4 step19400: loss=0.4419 (reg=0.0048 align=1.457)
ep4 step19600: loss=0.5093 (reg=0.0062 align=1.677)
ep4 step19800: loss=0.5507 (reg=0.0026 align=1.827)
ep4 step20000: loss=0.5821 (reg=0.0018 align=1.934)
ep4 step20200: loss=0.5418 (reg=0.0069 align=1.783)
ep4 step20400: loss=0.4371 (reg=0.0081 align=1.430)
ep5 step20600: loss=0.4716 (reg=0.0184 align=1.510)
ep5 step20800: loss=0.6188 (reg=0.0063 align=2.041)
ep5 step21000: loss=0.6027 (reg=0.0119 align=1.969)
ep5 step21200: loss=0.4690 (reg=0.0024 align=1.555)
ep5 step21400: loss=0.4539 (reg=0.0033 align=1.502)
ep5 step21600: loss=0.9505 (reg=0.0022 align=3.161)
ep5 step21800: loss=0.8062 (reg=0.0177 align=2.628)
ep5 step22000: loss=0.4116 (reg=0.0039 align=1.359)
ep5 step22200: loss=0.4839 (reg=0.0060 align=1.593)
ep5 step22400: loss=0.6447 (reg=0.0060 align=2.129)
ep5 step22600: loss=0.3873 (reg=0.0038 align=1.278)
ep5 step22800: loss=0.4161 (reg=0.0057 align=1.368)
ep5 step23000: loss=0.4522 (reg=0.0039 align=1.494)
ep5 step23200: loss=0.6564 (reg=0.0111 align=2.151)
ep5 step23400: loss=0.6286 (reg=0.0042 align=2.081)
ep5 step23600: loss=0.2959 (reg=0.0050 align=0.969)
ep5 step23800: loss=0.6334 (reg=0.0064 align=2.090)
ep5 step24000: loss=0.3669 (reg=0.0220 align=1.149)
ep5 step24200: loss=0.5927 (reg=0.0020 align=1.969)
ep5 step24400: loss=0.4211 (reg=0.0035 align=1.392)
ep5 step24600: loss=0.6251 (reg=0.0645 align=1.868)
ep6 step24800: loss=0.4638 (reg=0.0035 align=1.534)
ep6 step25000: loss=0.4757 (reg=0.0052 align=1.568)
ep6 step25200: loss=0.6266 (reg=0.0023 align=2.081)
ep6 step25400: loss=0.4497 (reg=0.0033 align=1.488)
ep6 step25600: loss=0.4237 (reg=0.0038 align=1.399)
ep6 step25800: loss=0.4944 (reg=0.0036 align=1.636)
ep6 step26000: loss=0.4989 (reg=0.0020 align=1.656)
ep6 step26200: loss=0.2904 (reg=0.0035 align=0.956)
ep6 step26400: loss=0.3293 (reg=0.0034 align=1.086)
ep6 step26600: loss=0.3146 (reg=0.0079 align=1.022)
ep6 step26800: loss=0.5234 (reg=0.0053 align=1.727)
ep6 step27000: loss=0.2917 (reg=0.0046 align=0.957)
ep6 step27200: loss=0.3950 (reg=0.0038 align=1.304)
ep6 step27400: loss=0.5302 (reg=0.0069 align=1.744)
ep6 step27600: loss=0.5780 (reg=0.0055 align=1.908)
ep6 step27800: loss=0.4839 (reg=0.0018 align=1.607)
ep6 step28000: loss=0.6364 (reg=0.0022 align=2.114)
ep6 step28200: loss=0.3579 (reg=0.0040 align=1.180)
ep6 step28400: loss=0.3747 (reg=0.0064 align=1.227)
ep6 step28600: loss=0.3818 (reg=0.0033 align=1.262)
ep6 step28800: loss=0.4925 (reg=0.0012 align=1.637)
ep7 step29000: loss=0.6789 (reg=0.0051 align=2.246)
ep7 step29200: loss=0.5118 (reg=0.0032 align=1.695)
ep7 step29400: loss=0.6571 (reg=0.0081 align=2.163)
ep7 step29600: loss=0.4776 (reg=0.0054 align=1.574)
ep7 step29800: loss=0.4499 (reg=0.0054 align=1.482)
ep7 step30000: loss=0.3690 (reg=0.0038 align=1.217)
ep7 step30200: loss=0.5115 (reg=0.0057 align=1.686)
ep7 step30400: loss=0.4461 (reg=0.0040 align=1.473)
ep7 step30600: loss=0.4157 (reg=0.0039 align=1.373)
ep7 step30800: loss=0.3223 (reg=0.0061 align=1.054)
ep7 step31000: loss=0.3270 (reg=0.0039 align=1.077)
ep7 step31200: loss=0.5979 (reg=0.0039 align=1.980)
ep7 step31400: loss=0.3610 (reg=0.0064 align=1.182)
ep7 step31600: loss=0.5087 (reg=0.0037 align=1.683)
ep7 step31800: loss=0.7253 (reg=0.0049 align=2.401)
ep7 step32000: loss=0.1978 (reg=0.0070 align=0.636)
ep7 step32200: loss=0.4485 (reg=0.0039 align=1.482)
ep7 step32400: loss=0.3865 (reg=0.0063 align=1.267)
ep7 step32600: loss=0.4891 (reg=0.0068 align=1.607)
ep7 step32800: loss=0.3546 (reg=0.0036 align=1.170)
ep8 step33000: loss=0.6379 (reg=0.0044 align=2.111)
ep8 step33200: loss=0.4139 (reg=0.0039 align=1.366)
ep8 step33400: loss=0.2420 (reg=0.0017 align=0.801)
